,Name,RA,Dec,MajAx,MinAx,PosAng,M,NGC,IC,Common names
169,IC0168,01:50:27.63,-08:31:22.6,1.12,0.39,104.0,,,,
170,IC0169,01:50:39.36,-12:40:46.6,0.74,0.51,76.0,,,,
171,IC0170,01:51:57.52,-08:31:03.4,0.78,0.6,92.0,,,,
172,IC0171,01:55:10.21,+35:16:54.8,2.26,1.9,107.0,,,,
173,IC0172,01:54:54.23,+00:48:40.4,0.48,0.37,95.0,,,,
174,IC0173,01:55:57.15,+01:17:06.6,0.92,0.72,90.0,,,,
175,IC0174,01:56:16.08,+03:45:42.7,1.49,0.99,97.0,,,,
176,IC0175,01:56:18.86,+01:19:56.7,0.52,0.46,9.0,,,,
177,IC0176,01:56:53.40,-02:01:08.3,1.78,0.38,94.0,,,,
178,IC0177,01:57:00.58,-00:05:23.5,0.51,0.47,11.0,,,,
179,IC0178,01:58:54.87,+36:40:28.9,0.94,0.79,159.0,,,,
180,IC0179,02:00:11.50,+38:01:16.8,1.12,0.9,111.0,,,,
181,IC0180,02:00:00.41,+23:36:15.6,0.83,0.34,150.0,,,,
182,IC0181,02:00:02.33,+23:39:31.1,0.57,0.49,55.0,,,,
183,IC0182,01:59:51.81,+07:24:42.6,1.06,0.7,36.0,,,,
184,IC0183,01:59:34.05,-05:20:49.7,1.19,0.37,98.0,,,,
185,IC0184,01:59:51.23,-06:50:25.4,1.12,0.59,178.0,,,,
186,IC0185,02:00:06.04,-01:31:42.0,0.79,0.33,82.0,,,,
187,IC0186,02:00:24.50,-01:33:06.2,1.1,,,,,,
188,IC0186A,02:00:24.00,-01:33:10.3,1.21,0.76,33.0,,,,
189,IC0186B,02:00:25.45,-01:32:59.3,0.69,0.47,0.0,,,,
190,IC0186 NED03,02:00:25.40,-01:33:03.0,0.25,0.2,101.0,,,,
191,IC0187,02:01:30.76,+26:28:51.5,2.23,0.73,70.0,,,,
192,IC0188,02:01:46.50,+26:32:48.8,0.54,0.28,46.0,,,,
193,IC0189,02:01:52.91,+23:33:05.4,0.78,0.67,86.0,,,,
194,IC0190,02:02:07.28,+23:32:59.4,0.25,0.2,95.0,,,,
195,IC0191,02:02:29.33,+18:22:22.8,,,,,0794,,
196,IC0192,02:02:32.39,+16:00:51.0,0.95,0.67,148.0,,,,
197,IC0193,02:02:30.98,+11:05:35.1,1.36,0.97,154.0,,,,
198,IC0194,02:03:05.22,+02:36:51.3,1.85,0.33,14.0,,,,
199,IC0195,02:03:44.61,+14:42:33.4,1.46,0.72,135.0,,,,
200,IC0196,02:03:49.80,+14:44:20.9,2.47,0.67,9.0,,,,
201,IC0197,02:04:04.93,+02:47:12.6,1.01,0.53,54.0,,,,
202,IC0198,02:06:03.12,+09:17:44.0,1.01,0.56,51.0,,,,
203,IC0199,02:06:19.40,+09:13:38.7,1.28,0.56,24.0,,,1778,
204,IC0200,02:05:26.64,+31:10:31.2,1.38,1.06,92.0,,,,
205,IC0201,02:07:15.29,+09:06:54.2,0.54,0.5,60.0,,,,
206,IC0202,02:07:28.66,+09:10:05.9,1.35,0.36,131.0,,,,
207,IC0203,02:07:29.65,+09:07:21.5,0.6,0.51,10.0,,,,
208,IC0204,02:07:27.08,-01:25:48.7,0.55,0.36,155.0,,,,
209,IC0205,02:07:27.43,-02:05:28.6,0.92,0.82,40.0,,,,
210,IC0206,02:09:30.68,-06:58:06.2,1.22,0.39,130.0,,,,
211,IC0207,02:09:39.35,-06:55:19.9,1.81,0.45,98.0,,,,
212,IC0208,02:08:27.74,+06:23:41.7,1.32,1.13,168.0,,,,
213,IC0209,02:08:58.71,-07:03:32.1,1.51,1.03,82.0,,,,
214,IC0210,02:09:28.28,-09:40:49.2,2.35,0.65,66.0,,,,
215,IC0211,02:11:08.00,+03:51:09.0,1.66,0.76,56.0,,,,
216,IC0212,02:13:38.26,+16:35:38.2,0.79,0.54,84.0,,,,
217,IC0213,02:14:04.28,+16:27:21.2,1.43,1.01,148.0,,,,
218,IC0214,02:14:05.59,+05:10:23.7,0.58,0.45,65.0,,,,
219,IC0215,02:14:09.46,-06:48:22.8,0.84,0.19,78.0,,,,
220,IC0216,02:15:55.52,-02:00:54.4,0.5,0.32,25.0,,,,
